selling_price,km_driven,transmission,owner,mileage,engine,max_power,seats,age,seller_type_Individual,seller_type_Trustmark Dealer,fuel_Diesel,fuel_LPG,fuel_Petrol,brand_Ashok,brand_Audi,brand_BMW,brand_Chevrolet,brand_Daewoo,brand_Datsun,brand_Fiat,brand_Force,brand_Ford,brand_Honda,brand_Hyundai,brand_Isuzu,brand_Jaguar,brand_Jeep,brand_Kia,brand_Land,brand_Lexus,brand_MG,brand_Mahindra,brand_Maruti,brand_Mercedes-Benz,brand_Mitsubishi,brand_Nissan,brand_Opel,brand_Renault,brand_Skoda,brand_Tata,brand_Toyota,brand_Volkswagen,brand_Volvo
950000,0.5204226972350068,0,0,-1.6395475789237497,2.23838820484243,0.3507657564879693,7.0,-0.5273579304332936,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1750000,-0.6230721955351846,1,1,-0.45732391020474744,1.1263010790607189,2.6731457913685155,5.0,0.24894597170589947,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1590000,-0.7794025264976224,1,0,-1.3143730517067962,0.766881285557124,1.5297523929396013,5.0,-1.0448938651927555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1689999,-0.34027238334470716,1,0,-0.2430616248292349,1.1263010790607189,3.095539881531924,5.0,0.24894597170589947,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1425000,-0.18218553180965766,1,0,-1.1732120166358704,1.4962920429614783,2.536757543015975,5.0,0.24894597170589947,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
265000,0.8892920174834555,0,0,0.4098081623737962,-0.395947458130977,-0.02091584410324767,5.0,0.7664819064653615,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
190000,0.7136399602222895,0,2,0.21823247192039671,-0.5037733961820554,-0.3327504073111329,5.0,0.7664819064653615,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425000,-0.16462032608354105,0,0,0.44761915391065094,-0.08304081437490615,-0.022175781732370187,5.0,0.24894597170589947,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630000,1.363552572088604,0,1,1.7886489870844446,-0.395947458130977,-0.4870927668786724,5.0,-0.2685899630535626,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
600000,-0.7794025264976224,0,2,-0.336328737286811,-0.5058876302614883,-0.08391272555938616,5.0,-0.7861258978130246,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
